,Date,Price,Open,High,Low,Change %,Variation,OpenPrice
164,08/01/2009,34.01,35.65,38.86,33.94,-0.0286,-2.86%,0.9539971949509116
165,07/01/2009,35.01,35.89,37.66,32.65,-0.0062,-0.62%,0.9754806352744496
166,06/01/2009,35.23,35.05,40.14,34.56,0.0167,1.67%,1.005135520684736
167,05/01/2009,34.65,31.67,37.58,30.77,0.1092,10.92%,1.094095358383328
168,04/01/2009,31.24,26.59,31.66,26.34,0.1635,16.35%,1.1748777735990974
169,03/01/2009,26.85,29.63,30.41,24.64,-0.11710000000000001,-11.71%,0.9061761727978401
170,02/01/2009,30.41,28.33,30.54,26.28,0.0693,6.93%,1.0734204024002825
171,01/01/2009,28.44,22.03,28.56,21.59,0.26739999999999997,26.74%,1.2909668633681344
172,12/01/2008,22.44,28.83,28.87,20.38,-0.24109999999999998,-24.11%,0.7783558792924038
173,11/01/2008,29.57,39.37,39.64,29.3,-0.2552,-25.52%,0.7510795021590043
174,10/01/2008,39.7,37.48,41.09,34.0,0.0374,3.74%,1.0592315901814302
175,09/01/2008,38.27,38.47,39.05,32.5,0.0037,0.37%,0.9948011437483755
176,08/01/2008,38.13,39.42,40.9,37.63,-0.0417,-4.17%,0.967275494672755
177,07/01/2008,39.79,39.42,41.74,37.69,0.0,0.00%,1.0093860984271943
178,06/01/2008,39.79,40.25,43.24,38.56,-0.0166,-1.66%,0.9885714285714285
179,05/01/2008,40.46,37.51,41.39,36.82,0.0764,7.64%,1.0786456944814717
180,04/01/2008,37.59,34.86,38.88,34.3,0.0953,9.53%,1.0783132530120483
181,03/01/2008,34.32,35.62,37.04,32.88,-0.028900000000000002,-2.89%,0.9635036496350365
182,02/01/2008,35.34,36.52,39.6,35.26,-0.028900000000000002,-2.89%,0.9676889375684556
183,01/01/2008,36.39,40.33,40.52,32.81,-0.0981,-9.81%,0.9023059757004712
184,12/01/2007,40.35,39.44,42.81,38.4,0.0159,1.59%,1.0230730223123734
185,11/01/2007,39.72,44.55,44.57,38.45,-0.1124,-11.24%,0.8915824915824916
186,10/01/2007,44.75,45.79,47.19,43.12,-0.0227,-2.27%,0.9772876173837083
187,09/01/2007,45.79,45.14,47.02,43.01,0.009300000000000001,0.93%,1.0143996455471864
188,08/01/2007,45.37,47.33,48.9,44.96,-0.049,-4.90%,0.9585886330023241
189,07/01/2007,47.71,50.31,52.01,47.41,-0.0521,-5.21%,0.9483204134366925
190,06/01/2007,50.33,48.98,53.16,48.74,0.0292,2.92%,1.027562270314414
191,05/01/2007,48.9,46.18,49.21,46.02,0.0562,5.62%,1.0588999566912083
192,04/01/2007,46.3,46.38,47.75,46.12,-0.0039000000000000003,-0.39%,0.9982751185855971
193,03/01/2007,46.48,45.23,46.72,44.73,0.0215,2.15%,1.0276365244306875
194,02/01/2007,45.5,48.14,48.7,45.09,-0.0572,-5.72%,0.9451599501454092
195,01/01/2007,48.26,46.58,49.06,45.83,0.0246,2.46%,1.0360669815371404
196,12/01/2006,47.1,44.79,47.2,44.04,0.0565,5.65%,1.0515740120562627
197,11/01/2006,44.58,46.1,47.37,44.56,-0.0321,-3.21%,0.9670281995661605
198,10/01/2006,46.06,46.53,48.48,45.59,-0.0058,-0.58%,0.98989898989899
199,09/01/2006,46.33,47.24,48.48,45.3,-0.0209,-2.09%,0.9807366638441998
200,08/01/2006,47.32,50.02,50.18,47.28,-0.0513,-5.13%,0.9460215913634545
201,07/01/2006,49.88,51.55,52.41,49.79,-0.0292,-2.92%,0.9676042677012611
202,06/01/2006,51.38,51.37,52.45,49.49,0.0049,0.49%,1.0001946661475571
203,05/01/2006,51.13,50.59,51.92,49.8,0.0087,0.87%,1.0106740462542003
204,04/01/2006,50.69,48.84,51.43,48.35,0.044500000000000005,4.45%,1.0378787878787878
205,03/01/2006,48.53,45.61,48.84,45.51,0.0673,6.73%,1.0640210480157861
206,02/01/2006,45.47,45.29,46.3,45.0,0.0044,0.44%,1.0039743872819606
207,01/01/2006,45.27,44.24,45.57,42.89,0.03,3.00%,1.0232820976491863
208,12/01/2005,43.95,44.76,45.81,43.34,-0.0233,-2.33%,0.9819034852546918
209,11/01/2005,45.0,45.45,46.82,43.88,-0.0129,-1.29%,0.9900990099009901
210,10/01/2005,45.59,43.2,46.05,43.17,0.053399999999999996,5.34%,1.0553240740740741
211,09/01/2005,43.28,40.43,43.41,39.83,0.0766,7.66%,1.0704922087558744
212,08/01/2005,40.2,43.0,44.35,40.05,-0.0621,-6.21%,0.9348837209302326
213,07/01/2005,42.86,39.44,42.98,39.42,0.0864,8.64%,1.0867139959432048
214,06/01/2005,39.45,39.7,41.52,38.03,-0.0152,-1.52%,0.9937027707808564
215,05/01/2005,40.06,41.92,42.92,39.92,-0.0464,-4.64%,0.9556297709923665
216,04/01/2005,42.01,44.88,45.41,41.44,-0.06559999999999999,-6.56%,0.9360516934046345
217,03/01/2005,44.96,43.63,46.93,42.89,0.031400000000000004,3.14%,1.0304836121934449
218,02/01/2005,43.59,41.29,43.84,39.77,0.054900000000000004,5.49%,1.055703560184064
219,01/01/2005,41.32,42.57,43.13,41.18,-0.0199,-1.99%,0.9706365985435753
220,12/01/2004,42.16,43.38,44.2,40.69,-0.0326,-3.26%,0.9718764407561087
221,11/01/2004,43.58,40.5,43.82,40.36,0.0817,8.17%,1.0760493827160493
222,10/01/2004,40.29,41.62,42.58,39.43,-0.0218,-2.18%,0.9680442095146564
223,09/01/2004,41.19,40.94,42.98,39.63,-0.0031,-0.31%,1.0061064973131413
224,08/01/2004,41.32,44.32,44.73,40.96,-0.0766,-7.66%,0.9323104693140795
225,07/01/2004,44.75,46.02,46.41,43.51,-0.0308,-3.08%,0.9724033029117775
226,06/01/2004,46.17,46.79,48.74,45.89,-0.008199999999999999,-0.82%,0.9867493054071383
227,05/01/2004,46.55,45.32,49.04,44.41,0.0342,3.42%,1.0271403353927626
228,04/01/2004,45.01,38.37,46.34,38.31,0.17309999999999998,17.31%,1.1730518634349754
229,03/01/2004,38.37,39.86,41.06,36.5,-0.0369,-3.69%,0.9626191670847968
230,02/01/2004,39.84,41.66,42.03,39.82,-0.037200000000000004,-3.72%,0.9563130100816132
231,01/01/2004,41.38,42.72,44.18,39.18,-0.027999999999999997,-2.80%,0.9686329588014982
232,12/01/2003,42.57,43.43,44.5,40.99,-0.0146,-1.46%,0.9801980198019802
233,11/01/2003,43.2,43.26,44.91,41.13,0.0044,0.44%,0.998613037447989
234,10/01/2003,43.01,39.49,44.75,39.12,0.0925,9.25%,1.0891364902506964
235,09/01/2003,39.37,45.61,46.16,39.35,-0.1161,-11.61%,0.8631878973909229
236,08/01/2003,44.54,45.85,46.68,41.9,-0.0045000000000000005,-0.45%,0.9714285714285714
237,07/01/2003,44.74,35.07,45.66,34.59,0.2681,26.81%,1.275734245794126
238,06/01/2003,35.28,34.08,35.97,30.74,0.053099999999999994,5.31%,1.035211267605634
239,05/01/2003,33.5,38.32,39.55,32.9,-0.13140000000000002,-13.14%,0.8742171189979123
240,04/01/2003,38.57,38.04,40.8,37.8,0.0089,0.89%,1.013932702418507
241,03/01/2003,38.23,37.11,41.17,35.49,0.0344,3.44%,1.0301805443276744
242,02/01/2003,36.96,40.03,40.38,36.92,-0.0702,-7.02%,0.9233075193604796
243,01/01/2003,39.75,38.75,42.03,38.6,0.041100000000000005,4.11%,1.0258064516129033
